# 2022-02-17, 15:08:48.880161
# fs = 5000 Hz, N = 1024
# NI 9201, 17.0.0
t,ai0
0.000000000,4.823125582
0.000200000,3.158607010
0.000400000,3.939492266
0.000600000,4.607354656
0.000800000,2.983935308
0.001000000,4.807713373
0.001200000,3.908667848
0.001400000,3.528500026
0.001600000,5.110820150
0.001800000,3.307591697
0.002000000,4.478919581
0.002200000,4.699827910
0.002400000,3.328141309
0.002600000,5.223843016
0.002800000,3.944629669
0.003000000,4.021690714
0.003200000,5.285491852
0.003400000,3.461713787
0.003600000,4.961835463
0.003800000,4.704965313
0.004000000,3.682622116
0.004200000,5.526949793
0.004400000,3.954904475
0.004600000,4.489194387
0.004800000,5.367690300
0.005000000,3.636385489
0.005200000,5.367690300
0.005400000,4.663866089
0.005600000,4.042240326
0.005800000,5.727308510
0.006000000,3.960041878
0.006200000,4.915598836
0.006400000,5.352278091
0.006600000,3.821331997
0.006800000,5.686209286
0.007000000,4.561118029
0.007200000,4.396721133
0.007400000,5.819781764
0.007600000,3.960041878
0.007800000,5.290629255
0.008000000,5.254667434
0.008200000,4.021690714
0.008400000,5.896842809
0.008600000,4.437820357
0.008800000,4.730652328
0.009000000,5.799232152
0.009200000,3.980591490
0.009400000,5.593736032
0.009600000,5.090270538
0.009800000,4.232324237
0.010000000,5.994453466
0.010200000,4.293973073
0.010400000,5.028621702
0.010600000,5.675934480
0.010800000,4.011415908
0.011000000,5.794094749
0.011200000,4.864224806
0.011400000,4.432682954
0.011600000,5.984178660
0.011800000,4.144988386
0.012000000,5.280354449
0.012200000,5.460163554
0.012400000,4.052515132
0.012600000,5.907117615
0.012800000,4.597079850
0.013000000,4.627904268
0.013200000,5.860880988
0.013400000,3.996003699
0.013600000,5.455026151
0.013800000,5.172468986
0.014000000,4.093614356
0.014200000,5.907117615
0.014400000,4.299110476
0.014600000,4.792301164
0.014800000,5.624560450
0.015000000,3.862431221
0.015200000,5.552636808
0.015400000,4.817988179
0.015600000,4.150125789
0.015800000,5.799232152
0.016000000,3.996003699
0.016200000,4.905324030
0.016400000,5.311178867
0.016600000,3.744270952
0.016800000,5.557774211
0.017000000,4.406995939
0.017200000,4.196362416
0.017400000,5.583461226
0.017600000,3.687759519
0.017800000,4.966972866
0.018000000,4.895049224
0.018200000,3.636385489
0.018400000,5.465300957
0.018600000,3.970316684
0.018800000,4.216912028
0.019000000,5.249530031
0.019200000,3.405202354
0.019400000,4.961835463
0.019600000,4.427545551
0.019800000,3.528500026
0.020000000,5.264942240
0.020200000,3.518225220
0.020400000,4.222049431
0.020600000,4.823125582
0.020800000,3.122645189
0.021000000,4.874499612
0.021200000,3.893255639
0.021400000,3.436026772
0.021600000,4.946423254
0.021800000,3.071271159
0.022000000,4.160400595
0.022200000,4.319660088
0.022400000,2.865775039
0.022600000,4.684415701
0.022800000,3.343553518
0.023000000,3.338416115
0.023200000,4.540568417
0.023400000,2.639729307
0.023600000,4.057652535
0.023800000,3.744270952
0.024000000,2.634591904
0.024200000,4.406995939
0.024400000,2.773301785
0.024600000,3.225393249
0.024800000,4.037102923
0.025000000,2.233874470
0.025200000,3.893255639
0.025400000,3.117507786
0.025600000,2.418820978
0.025800000,4.037102923
0.026000000,2.208187455
0.026200000,3.081545965
0.026400000,3.451438981
0.026600000,1.858844051
0.026800000,3.636385489
0.027000000,2.454782799
0.027200000,2.213324858
0.027400000,3.574736653
0.027600000,1.653347931
0.027800000,2.912011666
0.028000000,2.804126203
0.028200000,1.509500647
0.028400000,3.307591697
0.028600000,1.792057812
0.028800000,2.007828738
0.029000000,3.014759726
0.029200000,1.139607631
0.029400000,2.675691128
0.029600000,2.110576798
0.029800000,1.196119064
0.030000000,2.891462054
0.030200000,1.139607631
0.030400000,1.797195215
0.030600000,2.393133963
0.030800000,0.656691749
0.031000000,2.382859157
0.031200000,1.391340378
0.031400000,0.908424496
0.031600000,2.398271366
0.031800000,0.497432256
0.032000000,1.571149483
0.032200000,1.699584558
0.032400000,0.225149897
0.032600000,2.028378350
0.032800000,0.661829152
0.033000000,0.641279540
0.033200000,1.828019633
0.033400000,-0.083094283
0.033600000,1.309141930
0.033800000,0.975210735
0.034000000,-0.155017925
0.034200000,1.607111304
0.034400000,-0.052269865
0.034600000,0.389546793
0.034800000,1.190981661
0.035000000,-0.637933807
0.035200000,1.006035153
0.035400000,0.214875091
0.035600000,-0.499223926
0.035800000,1.113920616
0.036000000,-0.735544464
0.036200000,0.142951449
0.036400000,0.502569659
0.036600000,-1.105437480
0.036800000,0.656691749
0.037000000,-0.530048344
0.037200000,-0.792055897
0.037400000,0.559081092
0.037600000,-1.362307630
0.037800000,-0.124193507
0.038000000,-0.232078970
0.038200000,-1.526704526
0.038400000,0.266249121
0.038600000,-1.259559570
0.038800000,-1.054063450
0.039000000,-0.047132462
0.039200000,-1.937696766
0.039400000,-0.401613269
0.039600000,-0.966727599
0.039800000,-1.896597542
0.040000000,-0.190979746
0.040200000,-1.958246378
0.040400000,-1.300658794
0.040600000,-0.699582643
0.040800000,-2.436024857
0.041000000,-0.714994852
0.041200000,-1.696238825
0.041400000,-2.194566916
0.041600000,-0.694445240
0.041800000,-2.595284350
0.042000000,-1.526704526
0.042200000,-1.387994645
0.042400000,-2.852154500
0.042600000,-1.048926047
0.042800000,-2.405200439
0.043000000,-2.441162260
0.043200000,-1.239009958
0.043400000,-3.150123874
0.043600000,-1.763025064
0.043800000,-2.081544050
0.044000000,-3.206635307
0.044200000,-1.434231272
0.044400000,-3.078200232
0.044600000,-2.646658380
0.044800000,-1.824673900
0.045000000,-3.633039756
0.045200000,-1.989070796
0.045400000,-2.764818649
0.045600000,-3.463505457
0.045800000,-1.860635721
0.046000000,-3.679276383
0.046200000,-2.811055276
0.046400000,-2.430887454
0.046600000,-4.033757190
0.046800000,-2.245940946
0.047000000,-3.412131427
0.047200000,-3.663864174
0.047400000,-2.297314976
0.047600000,-4.208428892
0.047800000,-2.960039963
0.048000000,-3.037101008
0.048200000,-4.331726564
0.048400000,-2.513085902
0.048600000,-4.023482384
0.048800000,-3.802574055
0.049000000,-2.775093455
0.049200000,-4.650245550
0.049400000,-3.103887247
0.049600000,-3.633039756
0.049800000,-4.547497490
0.050000000,-2.821330082
0.050200000,-4.568047102
0.050400000,-3.895047309
0.050600000,-3.268284143
0.050800000,-4.973901939
0.051000000,-3.232322322
0.051200000,-4.203291489
0.051400000,-4.665657759
0.051600000,-3.144986471
0.051800000,-5.015001163
0.052000000,-3.936146533
0.052200000,-3.761474831
0.052400000,-5.210222477
0.052600000,-3.396719218
0.052800000,-4.706756983
0.053000000,-4.717031789
0.053200000,-3.489192472
0.053400000,-5.379756776
0.053600000,-3.946421339
0.053800000,-4.249528116
0.054000000,-5.333520149
0.054200000,-3.545703905
0.054400000,-5.158848447
0.054600000,-4.696482177
0.054800000,-3.848810682
0.055000000,-5.636626926
0.055200000,-3.956696145
0.055400000,-4.696482177
0.055600000,-5.379756776
0.055800000,-3.725513010
0.056000000,-5.523604060
0.056200000,-4.614283729
0.056400000,-4.218703698
